source,url,status,detected_date
https://good-apps.jp/media/column/16829,https://good-apps.jp/media/column/16829,"Error: HTTPSConnectionPool(host='good-apps.jp', port=443): Read timed out. (read timeout=10)",2025-03-17 08:08:37
https://good-apps.jp/media/column/23829,https://good-apps.jp/media/column/23829,"Error: HTTPSConnectionPool(host='good-apps.jp', port=443): Read timed out. (read timeout=10)",2025-03-17 08:08:37
https://good-apps.jp/media/column/24005,https://good-apps.jp/media/column/24005,"Error: HTTPSConnectionPool(host='good-apps.jp', port=443): Read timed out. (read timeout=10)",2025-03-17 08:08:37
https://good-apps.jp/media/column/1246,https://good-apps.jp/media/column/1246,"Error: HTTPSConnectionPool(host='good-apps.jp', port=443): Read timed out. (read timeout=10)",2025-03-17 08:08:37
https://good-apps.jp/media/column/6234,https://good-apps.jp/media/column/6234,"Error: HTTPSConnectionPool(host='good-apps.jp', port=443): Read timed out. (read timeout=10)",2025-03-17 08:08:37
https://good-apps.jp/media/category/photo-video/camera,https://good-apps.jp/media/category/photo-video/camera,"Error: HTTPSConnectionPool(host='good-apps.jp', port=443): Read timed out. (read timeout=10)",2025-03-17 08:08:37
https://good-apps.jp/media/column/19739,https://good-apps.jp/media/column/19739,"Error: HTTPSConnectionPool(host='good-apps.jp', port=443): Read timed out. (read timeout=10)",2025-03-17 08:08:37
https://good-apps.jp/media/column/19826,https://good-apps.jp/media/column/19826,"Error: HTTPSConnectionPool(host='good-apps.jp', port=443): Read timed out. (read timeout=10)",2025-03-17 08:08:37
https://good-apps.jp/media/column/22669,https://good-apps.jp/media/column/22669,"Error: HTTPSConnectionPool(host='good-apps.jp', port=443): Read timed out. (read timeout=10)",2025-03-17 08:08:37
https://good-apps.jp/media/column/15813,https://good-apps.jp/media/column/15813,"Error: HTTPSConnectionPool(host='good-apps.jp', port=443): Read timed out. (read timeout=10)",2025-03-17 08:08:37
https://good-apps.jp/media/column/22899,https://good-apps.jp/media/column/22899,"Error: HTTPSConnectionPool(host='good-apps.jp', port=443): Read timed out. (read timeout=10)",2025-03-17 08:08:37
https://good-apps.jp/media/column/18599,https://good-apps.jp/media/column/18599,"Error: HTTPSConnectionPool(host='good-apps.jp', port=443): Read timed out. (read timeout=10)",2025-03-17 08:08:37
https://good-apps.jp/media/category/uncategorized,https://good-apps.jp/media/category/uncategorized,"Error: HTTPSConnectionPool(host='good-apps.jp', port=443): Read timed out. (read timeout=10)",2025-03-17 08:08:37
https://good-apps.jp/media/column/23484,https://good-apps.jp/media/column/23484,"Error: HTTPSConnectionPool(host='good-apps.jp', port=443): Read timed out. (read timeout=10)",2025-03-17 08:08:37
https://good-apps.jp/media/column/6553,https://good-apps.jp/media/column/6553,"Error: HTTPSConnectionPool(host='good-apps.jp', port=443): Read timed out. (read timeout=10)",2025-03-04 05:56:55
https://good-apps.jp/media/column/392/,https://good-apps.jp/media/column/392/,"Error: HTTPSConnectionPool(host='good-apps.jp', port=443): Read timed out. (read timeout=10)",2025-03-17 08:08:37
https://good-apps.jp/media/column/2808/,https://good-apps.jp/media/column/2808/,"Error: HTTPSConnectionPool(host='good-apps.jp', port=443): Read timed out. (read timeout=10)",2025-03-17 08:08:37
https://good-apps.jp/media/category/study/study-support,https://good-apps.jp/media/category/study/study-support,"Error: HTTPSConnectionPool(host='good-apps.jp', port=443): Read timed out. (read timeout=10)",2025-03-17 08:08:37
https://good-apps.jp/media/category/healthcare/muscle-training,https://good-apps.jp/media/category/healthcare/muscle-training,"Error: HTTPSConnectionPool(host='good-apps.jp', port=443): Read timed out. (read timeout=10)",2025-03-17 08:08:37
https://good-apps.jp/media/category/study/language-learning,https://good-apps.jp/media/category/study/language-learning,"Error: HTTPSConnectionPool(host='good-apps.jp', port=443): Read timed out. (read timeout=10)",2025-03-17 08:08:37
https://good-apps.jp/media/category/business-work/document-management,https://good-apps.jp/media/category/business-work/document-management,"Error: HTTPSConnectionPool(host='good-apps.jp', port=443): Read timed out. (read timeout=10)",2025-03-17 08:08:37
https://good-apps.jp/media/category/photo-video/video-editing,https://good-apps.jp/media/category/photo-video/video-editing,"Error: HTTPSConnectionPool(host='good-apps.jp', port=443): Read timed out. (read timeout=10)",2025-03-17 08:08:37
https://good-apps.jp/media/app/17541,https://good-apps.jp/media/app/17541,"Error: HTTPSConnectionPool(host='good-apps.jp', port=443): Read timed out. (read timeout=10)",2025-03-24 08:24:20
https://good-apps.jp/media/app/17397,https://good-apps.jp/media/app/17397,"Error: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",2025-04-07 11:32:48
https://good-apps.jp/media/column/10267,https://pixta.jp/photo/59565636,404,2025-04-08 08:12:49
https://good-apps.jp/media/column/17978,https://pixta.jp/photo/75116252,404,2025-04-20 08:34:50
https://good-apps.jp/media/column/791,https://embed.ted.com/talks/lang/ja/bill_gates_the_next_outbreak_we_re_not_ready,404,2025-04-28 13:18:52
https://good-apps.jp/media/app/17169,https://good-apps.jp/media/app/17169,"Error: HTTPSConnectionPool(host='good-apps.jp', port=443): Read timed out. (read timeout=10)",2025-05-03 09:19:03
https://good-apps.jp/media/app/17442,https://good-apps.jp/media/app/17442,"Error: HTTPSConnectionPool(host='good-apps.jp', port=443): Read timed out. (read timeout=10)",2025-05-05 12:35:04
https://good-apps.jp/media/column/23386,https://poki.com/jp/%E3%83%9E%E3%83%BC%E3%82%B8,404,2025-05-08 09:20:55
https://good-apps.jp/media/column/6065,https://news.tv-asahi.co.jp/news_society/articles/900001856.html,404,2025-03-18 08:03:50
https://good-apps.jp/media/app/17580,https://snkrdunk.com/,404,2025-03-01 07:50:39
